CARCODE,CARNAME,MODEL,ENGINEDISPLACEMENT,ENGINEPOWER,FUELTYPE,GEARBOX,TRANSMISSIONTYPE,SEATINGCAPACITY,TOPSPEED,PRICE_RS
SUV-001,Fortuner,2021,2694 cc,164 hp @ 5200 RPM,Petrol,6 speed,Automatic,7 persons,200 KM/H,7699000
SUV-002,Revo,2020,2755 cc,175 hp @ 3400 RPM,Diesel,6 speed,Automatic,7 persons,200 KM/H,6342000
SUV-003,Prado,2020,2693 cc,160 hp @ 5200 RPM,Petrol,5 speed,Automatic,7 persons,180 KM/H,27930000
SUV-004,Vigo,2020,2494 cc,100 hp @ 3600 RPM,Diesel,4 speed,Automatic,7 persons,200 KM/H,4200000
SUV-005,Rush,2021,1496 cc,103 hp @ 6000 RPM,Petrol,4 speed,Manual,7 persons,200 KM/H,5630000
